Topic	Label	Words
0	Measuring Time	minutes, three, five, ten, four, six, later, hundred, twenty, watch
1	Kitchen + Dining	table, food, eat, kitchen, bread, plate, bowl, set, dinner, bite
2	Joyful Affection	love, heart, smile, eyes, kiss, loved, joy, beautiful, together, kissed
3	Goodbyes	won't, leave, you'll, stay, we'll, better, head, else, wouldn't, you've
4	Familial Relationships	family, father, children, mother, parents, son, daughter, child, brother, name
5	Reading + Writing	read, book, reading, story, books, words, page, writing, bible, write
6	Groups of People	men, women, others, each, line, three, group, camp, guards, guard
7	Digital Communication	phone, call, number, cell, voice, called, message, name, calling, rang
8	Familial Emotions + Hardships	mom, dad, mother, okay, father, she's, sorry, happened, love, kids
9	Body + Intimacy	eyes, air, voice, head, skin, body, chest, hand, open, arms
10	Young Adult Life	pretty, kind, she's, nice, girl, probably, lot, bad, guy, real
11	Financial Assets	money, pay, business, buy, job, store, dollars, house, paid, sell
12	Perception of Self + Others	eyes, face, seen, herself, seemed, such, smile, almost, caught, eye
13	Confessional Prayer	done, must, truth, myself, love, believe, father, understand, feel, god
14	Familial Events	father, mother, aunt, father's, daddy, mama, mother's, uncle, family, herself
15	Body Language	head, eyes, hand, shook, hands, leaned, face, chair, nodded, glanced
16	Sleeping	bed, night, sleep, morning, room, asleep, sleeping, hours, slept, awake
17	Urban Movement	street, building, walked, past, walk, walking, corner, guard, steps, crowd
18	Affectionate Gestures	smile, hand, miss, smiled, thank, gave, young, nodded, meet, please
19	Education	school, year, high, college, class, kids, during, teacher, ago, summer
20	State Conflict + WW2	men, war, soldiers, army, general, city, military, battle, news, german
21	Sky Appearance	light, its, dark, white, sky, black, sun, above, red, darkness
22	Nations + International Community	world, community, meeting, news, believe, each, states, united, everyone, become
23	Violence	head, blood, ground, feet, body, face, gun, arm, hands, dead
24	Stationary	paper, letter, read, letters, desk, envelope, written, note, write, name
25	Sports	game, play, ball, team, played, playing, games, win, second, field
26	Friendship	days, each, friends, friend, times, seemed, since, often, part, spent
27	Motherhood + Infancy	mrs, baby, child, mother, husband, girl, ma'am, young, women, she's
28	Rural Nature	trees, tree, house, its, grass, ground, woods, along, leaves, path
29	Formal Clothing	dress, wearing, white, shirt, black, shoes, wore, coat, clothes, blue
30	States of Being	someone, seemed, hadn't, finally, looking, else, waited, started, room, seen
31	Casual Conversation	okay, guy, head, guess, better, lot, pretty, you've, stuff, doing
32	Home	house, rachel, night, kitchen, dinner, table, morning, today, later, already
33	Doubtful + Unsure	hadn't, wouldn't, trying, everything, part, needed, myself, thinking, happened, else
34	Cleaning the Home	water, clean, clothes, kitchen, sink, hot, hands, bathroom, towel, wash
35	Violent Crime	death, dead, killed, kill, believe, prison, murder, story, tried, justice
36	House Features	room, floor, house, open, wall, window, table, kitchen, stairs, hall
37	Technology	computer, screen, video, name, information, show, camera, miles, second, list
38	Physical Features	hair, eyes, face, dark, brown, white, skin, black, tall, gray
39	Aircraft	plane, area, air, pilot, radio, fly, hours, ground, clear, phone
40	Youthful Playing	boy, boys, son, laughed, girl, laughing, laugh, laughter, name, mouth
41	Law Enforcement	police, case, officer, information, someone, agent, evidence, needed, involved, working
42	Photographs	box, bag, picture, ring, opened, open, small, set, photo, counter
43	Glorious God	god, lord, jesus, pray, bible, god's, love, faith, christ, prayer
44	Intimate Touch	hand, eyes, face, hands, tears, arm, head, held, pulled, reached
45	Physical Nervousness	eyes, voice, face, breath, throat, hands, chest, head, heart, mouth
46	Grief + Emotional Turmoil	heart, fear, world, words, lost, pain, voice, gone, death, eyes
47	Listening	says, looks, hand, she's, hands, head, takes, eyes, turns, comes
48	Apocalyptic Faith	god, shall, world, great, israel, crowd, earth, jerusalem, michael, power
49	Human Movement	feet, open, hand, foot, onto, under, pulled, steps, reached, top
50	Passage of Time	morning, night, days, hadn't, since, week, weeks, afternoon, three, they'd
51	Ocean + Shore	water, boat, river, lake, sea, bridge, shore, its, fish, cold
52	Horses	horse, wind, rain, horses, sky, far, its, ground, clouds, feet
53	Medical Pain	doctor, hospital, room, pain, blood, medical, nurse, body, leg, bed
54	Rural Towns + Travel	city, town, train, north, street, west, south, road, streets, river
55	Beverages + Drinking	coffee, cup, tea, drink, table, glass, water, bottle, set, sip
56	Communication	voice, words, hear, answer, question, spoke, speak, word, ask, understand
57	Motor Vehicles	car, road, seat, truck, pulled, drive, window, parking, drove, lot
58	Questioning	such, question, doubt, already, point, certain, between, fact, given, best
59	Royalty	king, upon, such, must, lord, great, men, speak, shall, far
60	Childhood Pets	girl, children, child, boy, dog, cat, name, small, eyes, sister
61	Fire	fire, smoke, wood, flames, burning, set, heat, air, burned, pieces
62	Holidays (Christmas)	christmas, red, white, gift, art, paint, color, flowers, beautiful, painting
63	Congregation Worship	church, music, song, pastor, sunday, singing, service, sing, dance, sang
64	Passage of Time	since, perhaps, days, leaving, such, certain, leave, window, its, evening
