Topic,Label,Average Novel Prominence
23,Violence,3.86
58,Questioning,3.48
33,Doubtful + Unsure,3.44
13,Confessional Prayer,3.28
31,Casual Conversation,3.24
45,Physical Nervousness,3.2
3,Goodbyes,2.96
44,Intimate Touch,2.42
15,Body Language,2.42
46,Grief + Emotional Turmoil,2.25
18,Affectionate Gestures,2.21
30,States of Being,2.16
49,Human Movement,2.06
36,House Features,2.02
4,Familial Relationships,1.9
43,Glorious God,1.81
47,Listening,1.8
59,Royalty,1.75
52,Horses,1.7
26,Friendship,1.68
9,Body + Intimacy,1.64
28,Rural Nature,1.64
21,Sky Appearance,1.63
2,Joyful Affection,1.6
12,Perception of Self + Others,1.59
1,Kitchen + Dining,1.57
50,Passage of Time,1.55
22,Nations + International Community,1.53
39,Aircraft,1.51
0,Measuring Time,1.51
56,Communication,1.45
10,Young Adult Life,1.44
38,Physical Features,1.41
16,Sleeping,1.41
17,Urban Movement,1.35
7,Digital Communication,1.26
19,Education,1.25
57,Motor Vehicles,1.22
8,Familial Emotions + Hardships,1.22
20,State Conflict + WW2,1.19
41,Law Enforcement,1.18
29,Formal Clothing,1.17
11,Financial Assets,1.15
48,Apocalyptic Faith,1.09
6,Groups of People,1.07
35,Violent Crime,1.06
64,Passage of Time,1.01
32,Home,0.97
5,Reading + Writing,0.92
24,Stationary,0.86
54,Rural Towns + Travel,0.85
62,Holidays (Christmas),0.85
37,Technology,0.83
51,Ocean + Shore,0.79
42,Photographs,0.78
61,Fire,0.75
60,Childhood Pets,0.72
63,Congregation Worship,0.72
34,Cleaning the Home,0.71
55,Beverages + Drinking,0.7
40,Youthful Playing,0.68
53,Medical Pain,0.66
25,Sports,0.64
14,Familial Events,0.62
27,Motherhood + Infancy,0.61
